asset_id,client_id,asset_type,operating_system,criticality,ip_address,deployed_date,last_patch_date
AST00309,CLI0320,Server,Unknown,High,192.168.40.254,2023-05-03,2025-11-21
AST00310,CLI0329,database,Ubuntu 22.04,High,172.16.215.251,2025-07-30,
AST00311,CLI0452,workstation,Ubuntu 20.04,Medium,10.79.128.31,2022-10-31,2026-06-04
AST00312,CLI0016,Server,Unknown,Medium,10.145.127.108,2024-04-07,2026-01-07
AST00313,CLI0359,Server,RHEL 8,High,10.182.179.229,2025-12-07,2025-12-20
AST00314,CLI0291,Server,Ubuntu 22.04,Medium,192.168.227.194,2023-01-13,2026-01-12
AST00315,CLI0347,Server,CentOS 7,Low,192.168.222.181,2024-08-02,
AST00316,CLI0052,workstation,macOS Sonoma,Low,172.23.68.162,2025-09-17,
AST00317,CLI0184,Server,Unknown,High,172.16.86.121,2022-06-30,2026-05-05
AST00318,CLI0457,Server,RHEL 8,High,172.16.68.34,2025-03-30,2025-12-26
AST00319,CLI0081,mobile device,Unknown,Medium,172.29.198.32,2025-09-07,2026-04-16
AST00320,CLI0480,workstation,CentOS 7,High,192.168.210.207,2026-01-08,2025-09-28
AST00321,CLI0477,mobile device,Ubuntu 22.04,Medium,192.168.199.137,2025-10-22,2025-07-27
AST00322,CLI0265,iot device,macOS Sonoma,Medium,192.168.139.49,2023-08-19,2026-04-21
AST00323,CLI0339,iot device,CentOS 7,Critical,Unknown,2024-02-23,
AST00324,CLI0116,iot device,CentOS 7,Critical,172.30.146.43,2024-12-18,
AST00325,CLI0357,Server,Unknown,Medium,10.77.230.131,2022-09-10,
AST00326,CLI0110,iot device,Unknown,High,10.64.5.35,2025-05-09,
AST00327,CLI0473,router,Unknown,Critical,10.111.51.70,2023-11-11,2025-10-21
AST00328,CLI0163,mobile device,macOS Sonoma,Low,172.17.3.253,2023-10-25,2026-06-12
AST00329,CLI0442,router,Unknown,High,10.200.235.129,2022-10-12,2025-09-07
AST00330,CLI0242,firewall,Windows 10,High,172.16.103.88,2022-12-25,2025-09-28
AST00331,CLI0499,workstation,Unknown,Medium,172.17.18.132,2023-04-17,2025-08-02
AST00332,CLI0100,mobile device,Windows 11,High,192.168.242.22,2024-01-19,2026-06-15
AST00333,CLI0112,Server,macOS Sonoma,High,10.21.153.100,2025-06-22,2025-08-12
AST00334,CLI0063,workstation,Ubuntu 22.04,High,172.22.91.241,2023-12-08,2026-02-28
AST00335,CLI0001,firewall,Windows 11,Critical,10.222.74.111,2023-10-17,
AST00336,CLI0458,database,Ubuntu 22.04,High,10.124.118.52,2022-07-13,
AST00337,CLI0312,router,RHEL 8,Low,172.20.245.177,2023-12-24,2025-08-25
AST00338,CLI0414,firewall,Ubuntu 20.04,Low,10.173.69.169,2026-03-20,2026-02-12
AST00339,CLI0055,Server,Unknown,High,10.78.206.101,2025-04-19,2026-04-14
AST00340,CLI0289,Server,Ubuntu 22.04,Critical,10.177.211.161,2025-09-18,
AST00341,CLI0326,router,macOS Sonoma,Critical,192.168.68.251,2023-07-01,2025-07-13
AST00342,CLI0178,mobile device,Windows 11,Medium,192.168.250.237,2023-04-03,
AST00343,CLI0428,firewall,Ubuntu 20.04,High,192.168.82.24,2022-10-08,2025-08-24
AST00344,CLI0012,workstation,Windows Server 2019,Medium,172.30.135.208,2022-07-01,
AST00345,CLI0448,firewall,Windows 10,Medium,10.186.104.16,2025-08-06,
AST00346,CLI0467,Server,macOS Sonoma,Medium,192.168.198.101,2023-04-03,2026-04-05
AST00347,CLI0435,Server,CentOS 7,Critical,10.165.43.213,2024-02-18,2025-10-24
AST00348,CLI0435,Server,Windows Server 2019,Medium,192.168.66.113,2023-03-17,2025-08-07
AST00349,CLI0243,Server,Ubuntu 20.04,Critical,10.198.246.108,2025-02-15,2026-03-12
AST00350,CLI0376,Server,Windows Server 2019,Medium,172.23.16.41,2024-12-01,
AST00351,CLI0116,Server,CentOS 7,High,10.40.240.25,2024-05-13,2025-11-08
AST00352,CLI0287,mobile device,Unknown,Low,192.168.212.247,2025-10-12,2025-07-20
AST00353,CLI0091,database,CentOS 7,High,192.168.20.208,2025-06-06,2025-07-27
AST00354,CLI0080,Server,Unknown,High,10.49.185.157,2022-11-24,
AST00355,CLI0012,mobile device,CentOS 7,Medium,10.127.93.222,2024-10-09,2026-01-19
AST00356,CLI0340,router,RHEL 8,High,192.168.54.5,2025-07-23,2026-01-26
AST00357,CLI0037,Server,Ubuntu 20.04,High,192.168.53.76,2023-02-28,
AST00358,CLI0063,mobile device,Unknown,Medium,172.30.45.39,2026-03-24,2026-01-16
AST00359,CLI0299,Server,Windows Server 2019,High,172.29.49.234,2025-07-20,2025-12-03
AST00360,CLI0518,workstation,Ubuntu 20.04,High,192.168.109.135,2023-12-29,
AST00361,CLI0282,cloud instance,Windows Server 2019,High,172.30.81.235,2026-05-02,2025-06-29
AST00362,CLI0155,mobile device,RHEL 8,High,172.20.82.159,2026-06-20,2025-10-16
AST00363,CLI0242,mobile device,Windows 11,High,10.161.59.47,2022-07-31,2026-04-25
AST00364,CLI0352,workstation,Windows 11,Medium,172.20.243.108,2022-11-14,2025-12-14
AST00365,CLI0508,router,macOS Sonoma,Medium,172.23.254.211,2023-06-05,2025-08-01
AST00366,CLI0172,database,Unknown,High,172.22.245.63,2025-06-06,2026-03-20
AST00367,CLI0271,workstation,Windows Server 2019,Medium,10.48.211.142,2024-11-15,
AST00368,CLI0309,mobile device,Unknown,Medium,192.168.28.161,2026-03-07,2026-05-17
AST00369,CLI0400,mobile device,Ubuntu 20.04,Medium,172.19.219.119,2025-12-21,
AST00370,CLI0013,cloud instance,CentOS 7,Critical,192.168.195.213,2022-09-17,2025-10-23
AST00371,CLI0043,workstation,Unknown,High,192.168.113.12,2023-02-08,
AST00372,CLI0280,iot device,Ubuntu 20.04,High,172.18.225.245,2023-05-20,
AST00373,CLI0401,mobile device,Ubuntu 22.04,High,10.243.163.56,2024-10-11,2025-07-17
AST00374,CLI0346,firewall,RHEL 8,Medium,Unknown,2022-11-01,2025-12-29
AST00375,CLI0070,Server,macOS Sonoma,Low,10.246.59.121,2024-09-24,2026-02-22
AST00376,CLI0457,iot device,Ubuntu 22.04,High,10.126.19.239,2023-06-19,2025-10-04
AST00377,CLI0035,Server,Unknown,Low,192.168.45.223,2022-12-11,2025-11-09
AST00378,CLI0223,Server,Windows 10,High,10.12.100.214,2025-07-28,2025-08-29
AST00379,CLI0134,router,Unknown,High,172.30.24.70,2022-09-03,2026-04-24
AST00380,CLI0189,cloud instance,Ubuntu 20.04,Critical,172.18.190.253,2022-12-11,2025-07-18
AST00381,CLI0465,cloud instance,macOS Sonoma,High,10.147.75.117,2022-07-20,
AST00382,CLI0264,firewall,Windows 10,High,172.26.158.187,2023-05-01,
AST00383,CLI0398,iot device,Windows Server 2019,High,192.168.247.79,2024-12-26,
AST00384,CLI0183,mobile device,Windows 10,Critical,192.168.22.67,2023-07-08,2025-07-21
AST00385,CLI0403,firewall,CentOS 7,Low,192.168.27.45,2024-05-09,
AST00386,CLI0224,Server,Windows 10,Critical,192.168.184.110,2025-12-13,2025-07-05
AST00387,CLI0036,workstation,Windows 10,Medium,192.168.194.235,2024-07-11,
AST00388,CLI0020,mobile device,Windows 11,High,172.18.209.16,2023-03-29,2025-12-29
AST00389,CLI0400,cloud instance,Windows 11,High,192.168.126.170,2026-03-08,
AST00390,CLI0004,Server,CentOS 7,Critical,192.168.177.141,2025-03-25,2025-10-17
AST00391,CLI0072,Server,Ubuntu 22.04,Low,192.168.31.191,2024-12-30,2026-05-20
AST00392,CLI0494,workstation,Unknown,Medium,10.143.117.145,2023-05-25,
AST00393,CLI0342,cloud instance,macOS Sonoma,Low,10.195.176.166,2024-07-29,2026-05-14
AST00394,CLI0093,iot device,Unknown,High,192.168.123.16,2024-10-14,2025-12-02
AST00395,CLI0471,cloud instance,Ubuntu 22.04,Medium,192.168.67.119,2023-04-28,
AST00396,CLI0196,cloud instance,macOS Sonoma,Low,10.158.53.9,2025-03-31,
AST00397,CLI0499,workstation,CentOS 7,High,172.20.165.22,2025-02-12,2026-01-21
AST00398,CLI0198,Server,Unknown,Medium,10.60.157.66,2023-03-26,2026-05-02
AST00399,CLI0316,mobile device,Unknown,High,10.211.253.18,2026-05-04,2025-10-18
AST00400,CLI0038,iot device,Windows Server 2019,High,192.168.140.47,2023-02-07,2025-09-05
AST00401,CLI0416,workstation,Ubuntu 22.04,High,10.136.162.55,2024-11-30,2026-02-02
AST00402,CLI0470,Server,Windows 11,High,10.183.241.26,2022-10-24,2026-04-10
AST00403,CLI0038,firewall,CentOS 7,High,Unknown,2025-11-17,2026-02-21
AST00404,CLI0047,database,Windows 11,Low,10.251.158.193,2024-05-22,2025-08-27
AST00405,CLI0315,workstation,CentOS 7,Medium,172.16.122.255,2026-03-13,2025-09-18
AST00406,CLI0066,workstation,Windows 10,Critical,192.168.104.188,2022-10-04,2026-06-24
AST00407,CLI0226,workstation,Ubuntu 22.04,Critical,192.168.166.88,2025-12-17,2025-12-02
AST00408,CLI0412,iot device,Windows 10,High,10.194.192.103,2025-05-17,2025-11-20
AST00409,CLI0330,database,Windows Server 2019,Medium,192.168.19.183,2024-07-29,2025-12-11
AST00410,CLI0124,cloud instance,Windows 11,High,10.125.207.58,2024-07-26,2026-03-25
AST00411,CLI0379,Server,Windows 11,Critical,192.168.25.61,2023-04-03,2026-05-18
AST00412,CLI0042,firewall,Windows 10,High,172.29.132.207,2023-09-03,2026-03-08
AST00413,CLI0386,firewall,Windows Server 2019,Critical,10.231.68.248,2022-11-09,2025-12-29
AST00414,CLI0184,workstation,Unknown,High,192.168.69.70,2024-01-25,
AST00415,CLI0130,database,Windows 11,High,172.22.118.58,2026-01-09,
AST00416,CLI0422,database,Windows 11,Medium,192.168.83.247,2025-05-14,2025-08-09
AST00417,CLI0185,mobile device,Unknown,Low,172.18.186.212,2024-08-03,
AST00418,CLI0357,router,Windows Server 2019,Medium,192.168.81.222,2024-01-04,2025-11-15
AST00419,CLI0098,Server,RHEL 8,High,172.20.205.136,2023-02-21,2026-04-06
AST00420,CLI0520,database,CentOS 7,High,10.158.121.46,2025-05-31,2026-06-15
AST00421,CLI0284,Server,Ubuntu 22.04,Low,10.67.93.71,2026-05-03,2026-04-05
AST00422,CLI0486,mobile device,Windows 11,Medium,10.255.78.9,2024-09-01,2025-07-01
AST00423,CLI0056,iot device,Ubuntu 20.04,Medium,10.243.144.133,2024-04-22,
AST00424,CLI0465,Server,Windows 10,High,10.142.100.209,2024-12-21,2026-04-27
AST00425,CLI0181,firewall,Windows Server 2019,Critical,10.28.49.87,2025-02-08,2025-07-12
AST00426,CLI0241,mobile device,Unknown,Medium,192.168.152.205,2023-10-26,2025-07-31
AST00427,CLI0334,database,Windows 10,High,10.145.154.83,2024-12-08,2026-03-09
AST00428,CLI0423,database,macOS Sonoma,Medium,192.168.233.34,2025-06-28,2025-07-12
AST00429,CLI0497,Server,macOS Sonoma,Medium,172.28.32.69,2025-10-10,2026-05-03
AST00430,CLI0466,firewall,macOS Sonoma,High,10.68.227.47,2022-12-25,2025-10-27
AST00431,CLI0199,iot device,Ubuntu 20.04,Medium,172.22.176.139,2024-12-10,2025-08-08
AST00432,CLI0062,cloud instance,Windows 11,Low,192.168.44.227,2024-06-05,
AST00433,CLI0429,firewall,RHEL 8,Medium,192.168.162.10,2023-07-14,2026-02-12
AST00434,CLI0161,Server,Windows 11,Medium,10.254.39.188,2024-07-28,2026-02-15
AST00435,CLI0089,router,Unknown,Critical,10.119.39.74,2025-04-30,2026-06-22
AST00436,CLI0485,mobile device,Ubuntu 20.04,Low,10.60.96.194,2025-06-11,2026-02-09
AST00437,CLI0253,database,RHEL 8,Critical,172.26.174.109,2023-11-22,2025-09-14
AST00438,CLI0153,Server,Windows Server 2019,Critical,192.168.144.49,2023-07-06,2025-07-23
AST00439,CLI0482,Server,Windows Server 2019,Critical,192.168.3.35,2022-12-13,
AST00440,CLI0101,mobile device,CentOS 7,Medium,192.168.14.232,2025-10-27,2025-09-08
AST00441,CLI0417,database,Windows 11,High,192.168.242.241,2025-09-06,2025-12-22
AST00442,CLI0093,Server,CentOS 7,High,192.168.171.147,2024-05-05,2026-06-03
AST00443,CLI0471,Server,Unknown,Low,10.153.67.149,2024-10-02,
AST00444,CLI0142,router,Windows 11,High,10.169.215.28,2025-09-10,2025-11-05
AST00445,CLI0476,Server,Windows 10,Critical,10.15.245.237,2023-11-07,
AST00446,CLI0034,cloud instance,macOS Sonoma,High,10.199.117.59,2023-03-30,2026-04-11
AST00447,CLI0213,workstation,Unknown,High,172.26.16.97,2025-05-02,2025-10-06
AST00448,CLI0373,Server,Windows 10,Critical,10.154.242.38,2023-05-11,2025-08-09
AST00449,CLI0042,iot device,RHEL 8,Medium,10.47.105.206,2024-04-08,2025-12-22
AST00450,CLI0069,Server,Ubuntu 22.04,Medium,192.168.174.35,2026-03-10,2026-03-24
AST00451,CLI0117,mobile device,Unknown,High,172.19.36.224,2025-10-13,2026-06-07
AST00452,CLI0231,iot device,RHEL 8,High,10.18.183.3,2024-05-01,
AST00453,CLI0284,Server,Windows 10,High,10.22.139.24,2025-03-29,
AST00454,CLI0514,Server,Windows 10,Critical,172.19.76.158,2024-07-29,2025-10-21
AST00455,CLI0300,mobile device,Unknown,High,192.168.107.112,2023-10-11,2025-10-08
AST00456,CLI0068,database,CentOS 7,Low,172.19.195.203,2023-08-02,2025-08-25
AST00457,CLI0296,workstation,Windows 10,Medium,192.168.52.106,2023-04-27,2025-10-23
AST00458,CLI0152,mobile device,Windows 11,High,10.145.8.118,2024-10-15,2025-10-20
AST00459,CLI0024,cloud instance,macOS Sonoma,High,172.17.159.140,2023-01-06,2025-12-18
AST00460,CLI0486,iot device,macOS Sonoma,Critical,10.44.23.221,2024-03-14,2025-09-02
AST00461,CLI0299,database,Windows 10,Low,192.168.228.68,2024-12-16,2025-10-21
AST00462,CLI0344,router,Unknown,High,192.168.40.55,2026-05-22,
AST00463,CLI0498,Server,Unknown,High,10.239.193.220,2022-11-19,
AST00464,CLI0312,Server,Windows 11,High,172.23.41.82,2023-01-25,
AST00465,CLI0233,mobile device,RHEL 8,High,172.26.146.11,2025-08-25,2026-05-17
AST00466,CLI0152,iot device,Ubuntu 20.04,Critical,10.57.204.85,2023-11-25,2025-08-30
AST00467,CLI0165,Server,Ubuntu 20.04,Medium,172.20.19.156,2024-07-11,2026-03-17
AST00468,CLI0158,firewall,Ubuntu 22.04,Low,Unknown,2022-12-03,
AST00469,CLI0130,mobile device,Ubuntu 20.04,High,172.28.211.125,2024-11-08,2025-09-26
AST00470,CLI0036,iot device,RHEL 8,Medium,10.196.131.151,2022-10-04,2026-03-10
AST00471,CLI0167,Server,Ubuntu 20.04,Low,172.29.238.106,2024-10-05,
AST00472,CLI0512,firewall,CentOS 7,High,10.39.225.198,2025-06-14,2026-05-01
AST00473,CLI0520,iot device,Ubuntu 20.04,Critical,10.237.2.85,2023-10-18,2025-12-08
AST00474,CLI0151,Server,CentOS 7,High,172.18.58.57,2024-11-20,2026-02-02
AST00475,CLI0491,Server,Windows 11,High,172.17.247.169,2022-11-09,
AST00476,CLI0026,router,Unknown,High,192.168.75.31,2025-02-19,
AST00477,CLI0095,iot device,Windows Server 2019,Medium,192.168.100.46,2023-04-26,2025-10-16
AST00478,CLI0228,cloud instance,Ubuntu 22.04,Low,192.168.222.148,2025-05-13,
AST00479,CLI0090,Server,macOS Sonoma,Medium,192.168.206.242,2025-11-19,2025-07-21
AST00480,CLI0058,iot device,macOS Sonoma,Medium,192.168.0.110,2025-04-22,
AST00481,CLI0379,router,RHEL 8,Low,172.23.135.24,2024-03-21,
AST00482,CLI0316,mobile device,Unknown,Low,192.168.195.92,2024-03-26,
AST00483,CLI0426,mobile device,Ubuntu 20.04,Medium,10.196.233.164,2025-11-13,
AST00484,CLI0425,firewall,Unknown,Medium,172.20.4.127,2023-01-12,2025-07-25
AST00485,CLI0311,mobile device,Unknown,High,192.168.223.155,2026-05-24,2025-08-18
AST00486,CLI0385,workstation,Windows Server 2019,Critical,172.29.159.94,2024-12-26,
AST00487,CLI0425,firewall,Unknown,Critical,172.23.57.69,2023-03-28,2026-02-05
AST00488,CLI0205,firewall,macOS Sonoma,High,192.168.137.219,2024-02-20,2026-01-14
AST00489,CLI0310,Server,Ubuntu 20.04,Critical,10.188.182.85,2022-12-12,
AST00490,CLI0230,Server,Windows Server 2019,Medium,10.143.16.47,2024-05-09,2026-05-20
AST00491,CLI0484,workstation,Ubuntu 20.04,Critical,10.39.250.90,2025-03-25,2026-01-27
AST00492,CLI0251,Server,Windows 10,High,192.168.175.229,2024-08-19,2025-07-02
AST00493,CLI0371,Server,CentOS 7,Medium,172.26.155.195,2024-03-06,
AST00494,CLI0488,workstation,RHEL 8,Medium,172.25.186.242,2025-05-27,2026-01-21
AST00495,CLI0266,firewall,Unknown,Low,172.17.166.222,2025-02-12,
AST00496,CLI0139,iot device,Windows 11,Low,10.42.62.197,2023-01-01,
AST00497,CLI0365,Server,Ubuntu 20.04,High,172.24.253.184,2023-08-06,2025-10-01
AST00498,CLI0199,firewall,Windows 10,Medium,192.168.77.97,2025-02-17,2025-09-01
AST00499,CLI0331,iot device,Ubuntu 20.04,High,192.168.92.147,2025-09-09,2025-11-01
AST00500,CLI0372,workstation,Unknown,Medium,10.78.236.201,2025-11-04,2026-03-31
AST00501,CLI0014,firewall,Unknown,High,172.30.21.254,2025-05-25,
AST00502,CLI0422,iot device,Windows 11,Low,172.24.117.237,2025-07-07,2025-08-29
AST00503,CLI0227,database,Unknown,Medium,172.31.61.146,2025-06-24,2026-01-09
AST00504,CLI0117,router,CentOS 7,Low,172.28.123.117,2024-05-23,2025-08-21
AST00505,CLI0018,mobile device,RHEL 8,High,10.229.203.209,2024-01-09,2025-10-22
AST00506,CLI0453,Server,Unknown,High,10.181.40.244,2026-04-26,2025-12-04
AST00507,CLI0312,Server,Windows 10,Medium,172.24.139.251,2025-09-14,2026-01-28
AST00508,CLI0146,database,Ubuntu 20.04,Medium,172.23.188.204,2025-06-06,2026-01-30
AST00509,CLI0436,workstation,Windows 10,Low,172.21.193.224,2023-09-30,
AST00510,CLI0044,database,Windows 10,Low,10.50.5.146,2024-08-05,2025-11-04
AST00511,CLI0061,mobile device,Windows 10,High,Unknown,2025-05-24,
AST00512,CLI0011,workstation,Windows 10,Medium,192.168.111.3,2026-04-18,2026-02-17
AST00513,CLI0190,iot device,Windows Server 2019,Low,10.66.131.52,2023-12-31,2026-02-21
AST00514,CLI0285,Server,RHEL 8,High,10.94.87.184,2023-07-05,2026-06-06
AST00515,CLI0248,Server,Unknown,Low,192.168.141.130,2025-07-28,2026-02-28
AST00516,CLI0015,Server,Ubuntu 22.04,High,172.18.94.47,2023-08-09,
AST00517,CLI0176,Server,Windows Server 2019,High,10.135.130.38,2023-03-16,2025-07-24
AST00518,CLI0517,mobile device,RHEL 8,High,10.91.92.197,2025-01-28,
AST00519,CLI0110,firewall,RHEL 8,Critical,172.19.102.101,2026-02-22,2025-08-05
AST00520,CLI0234,router,Windows 10,High,10.128.78.42,2025-08-08,2025-07-05
AST00521,CLI0478,workstation,Unknown,Medium,192.168.19.95,2025-02-24,
AST00522,CLI0296,Server,Windows Server 2019,Low,172.31.179.165,2024-05-28,2025-11-23
AST00523,CLI0395,cloud instance,CentOS 7,Medium,10.1.177.128,2024-01-12,2026-04-10
AST00524,CLI0455,database,Unknown,Critical,10.183.196.36,2023-10-30,
AST00525,CLI0194,workstation,CentOS 7,High,192.168.174.28,2022-10-25,2025-12-14
AST00526,CLI0504,workstation,macOS Sonoma,Critical,192.168.20.35,2026-05-13,2025-10-16
AST00527,CLI0088,workstation,Windows 11,Critical,172.27.127.17,2024-06-09,2025-12-06
AST00528,CLI0105,firewall,Windows 10,High,10.98.221.12,2022-08-06,
AST00529,CLI0206,Server,macOS Sonoma,Low,172.25.216.238,2024-06-29,
AST00530,CLI0512,cloud instance,Unknown,Medium,10.28.179.43,2023-11-05,2025-11-24
AST00531,CLI0410,iot device,CentOS 7,High,10.234.175.133,2026-04-03,
AST00532,CLI0497,Server,Ubuntu 20.04,Medium,192.168.36.225,2022-08-22,2025-08-19
AST00533,CLI0126,cloud instance,CentOS 7,Critical,172.17.119.53,2023-06-19,2026-02-21
AST00534,CLI0031,workstation,Windows Server 2019,High,192.168.157.91,2025-10-11,2026-02-07
AST00535,CLI0028,firewall,macOS Sonoma,Medium,192.168.54.113,2022-12-13,2026-02-01
AST00536,CLI0311,Server,Unknown,Low,10.218.56.99,2023-11-04,2026-03-26
AST00537,CLI0505,mobile device,Ubuntu 22.04,High,172.20.101.0,2023-10-12,
AST00538,CLI0517,cloud instance,Unknown,High,10.171.199.37,2022-09-30,2026-04-02
AST00539,CLI0019,Server,macOS Sonoma,Low,10.84.123.174,2024-03-31,
AST00540,CLI0386,mobile device,CentOS 7,Low,Unknown,2022-11-23,2026-02-08
AST00541,CLI0311,firewall,CentOS 7,Critical,10.249.83.205,2022-10-25,2026-06-02
AST00542,CLI0399,mobile device,Windows 10,Medium,192.168.145.69,2024-02-28,2026-04-07
AST00543,CLI0482,mobile device,Unknown,High,192.168.73.66,2025-01-19,2026-01-06
AST00544,CLI0401,cloud instance,CentOS 7,Medium,10.19.67.22,2024-11-17,2026-02-08
AST00545,CLI0362,cloud instance,RHEL 8,Low,Unknown,2022-11-05,2026-04-27
AST00546,CLI0132,iot device,RHEL 8,High,172.23.138.90,2023-04-06,2026-06-25
AST00547,CLI0350,router,Windows 10,Critical,192.168.112.68,2024-05-08,
AST00548,CLI0422,iot device,Windows Server 2019,High,10.76.102.57,2025-03-27,2026-06-18
AST00549,CLI0320,Server,Windows 10,High,10.22.19.63,2022-09-16,
AST00550,CLI0118,iot device,Windows 11,Low,172.30.128.47,2022-09-01,2026-03-26
AST00551,CLI0472,router,Unknown,Medium,10.14.225.163,2024-06-07,
AST00552,CLI0021,mobile device,Unknown,Low,192.168.166.229,2024-03-03,
AST00553,CLI0400,iot device,Unknown,Low,10.166.250.205,2023-05-28,2025-09-23
AST00554,CLI0211,iot device,CentOS 7,Medium,10.112.250.181,2022-10-15,2025-07-18
AST00555,CLI0348,firewall,Unknown,High,172.30.143.73,2023-03-17,
AST00556,CLI0207,mobile device,Windows 10,High,10.138.21.102,2023-04-21,2025-08-14
AST00557,CLI0295,cloud instance,Windows Server 2019,High,10.56.227.80,2025-11-25,
AST00558,CLI0232,Server,Windows 10,High,172.25.113.246,2024-11-27,2026-04-13
AST00559,CLI0345,cloud instance,Windows 10,Medium,192.168.117.155,2022-11-03,
AST00560,CLI0438,database,RHEL 8,High,10.236.239.66,2023-08-11,
AST00561,CLI0517,cloud instance,macOS Sonoma,High,10.222.85.217,2024-10-23,2026-05-21
AST00562,CLI0425,router,Ubuntu 20.04,Medium,10.2.153.135,2024-03-01,2026-06-26
AST00563,CLI0185,Server,Unknown,High,192.168.17.54,2024-03-12,
AST00564,CLI0219,mobile device,Ubuntu 20.04,High,192.168.231.166,2024-06-22,2026-03-31
AST00565,CLI0445,Server,Windows Server 2019,Medium,192.168.111.158,2023-01-09,
AST00566,CLI0152,database,Windows 11,High,10.156.19.139,2023-02-21,
AST00567,CLI0446,router,RHEL 8,High,192.168.232.224,2024-05-07,2025-08-18
AST00568,CLI0209,router,Ubuntu 20.04,High,10.189.167.192,2024-12-31,2026-03-13
AST00569,CLI0263,Server,Ubuntu 22.04,Critical,192.168.170.114,2024-08-13,2025-10-15
AST00570,CLI0197,Server,Ubuntu 22.04,High,192.168.106.15,2025-08-23,
AST00571,CLI0498,Server,macOS Sonoma,Critical,192.168.186.92,2026-01-17,2025-08-08
AST00572,CLI0207,firewall,Ubuntu 20.04,Medium,Unknown,2024-12-20,
AST00573,CLI0181,Server,CentOS 7,High,Unknown,2024-09-23,2025-07-23
AST00574,CLI0322,Server,Ubuntu 20.04,High,10.171.123.231,2023-06-13,
AST00575,CLI0373,workstation,macOS Sonoma,High,192.168.107.106,2025-07-04,2026-04-03
AST00576,CLI0242,workstation,Unknown,High,172.29.136.162,2023-08-08,2025-07-22
AST00577,CLI0258,mobile device,Windows 10,Medium,172.19.237.60,2024-05-16,
AST00578,CLI0338,Server,macOS Sonoma,High,172.27.199.217,2025-09-10,2026-06-10
AST00579,CLI0434,database,Windows 11,Low,10.234.110.122,2022-11-04,
AST00580,CLI0451,router,Ubuntu 20.04,High,10.141.72.93,2022-12-10,
AST00581,CLI0384,workstation,RHEL 8,Medium,10.11.158.15,2023-09-01,2026-01-13
AST00582,CLI0253,cloud instance,Windows 11,High,10.215.27.70,2024-04-08,
AST00583,CLI0316,Server,Unknown,Low,10.118.243.180,2025-10-31,2025-10-29
AST00584,CLI0056,database,Ubuntu 20.04,Medium,192.168.167.17,2024-06-09,2026-01-09
AST00585,CLI0372,workstation,Unknown,High,192.168.155.176,2024-10-05,
AST00586,CLI0398,Server,macOS Sonoma,High,172.27.230.159,2026-05-18,2026-04-06
AST00587,CLI0305,database,Windows 11,Critical,172.21.82.216,2024-12-19,2026-01-10
AST00588,CLI0417,Server,Ubuntu 20.04,High,10.78.149.143,2023-02-20,
AST00589,CLI0483,router,RHEL 8,High,192.168.133.84,2023-12-22,2025-09-12
AST00590,CLI0165,cloud instance,Unknown,Low,192.168.176.12,2023-02-01,2026-06-21
AST00591,CLI0335,mobile device,Windows Server 2019,High,192.168.12.194,2024-02-11,2025-08-21
AST00592,CLI0189,mobile device,Windows 11,Low,172.20.254.99,2022-07-06,2026-06-21
AST00593,CLI0313,iot device,Unknown,Low,172.25.117.51,2024-05-22,2025-10-13
AST00594,CLI0134,Server,macOS Sonoma,High,192.168.226.91,2023-11-06,
AST00595,CLI0490,firewall,Ubuntu 20.04,Medium,10.59.215.47,2023-09-23,
AST00596,CLI0289,database,Windows 10,Critical,172.26.113.152,2022-09-18,
AST00597,CLI0387,Server,Ubuntu 22.04,Low,10.142.76.120,2023-04-11,2026-05-05
AST00598,CLI0235,workstation,CentOS 7,Medium,192.168.44.188,2026-05-25,2025-11-20
AST00599,CLI0051,router,Unknown,Critical,192.168.28.178,2026-02-16,2025-11-08
AST00600,CLI0092,iot device,Windows 11,Medium,172.27.238.59,2022-07-17,2025-10-19
AST00601,CLI0446,mobile device,CentOS 7,Low,172.18.205.155,2023-05-11,2026-05-19
AST00602,CLI0196,cloud instance,Ubuntu 20.04,High,172.25.60.125,2023-02-24,2026-03-22
AST00603,CLI0442,database,Unknown,Medium,192.168.71.117,2025-11-01,
AST00604,CLI0194,router,Windows 11,Critical,172.26.187.187,2022-10-04,2026-06-15
AST00605,CLI0298,cloud instance,Ubuntu 22.04,Medium,10.139.241.194,2024-02-25,2026-01-18
AST00606,CLI0379,Server,CentOS 7,Low,Unknown,2025-07-07,2025-08-18
AST00607,CLI0332,router,Ubuntu 22.04,High,172.31.178.224,2022-08-30,
AST00608,CLI0263,workstation,Windows 10,Medium,172.30.212.152,2023-05-24,
AST00609,CLI0241,mobile device,RHEL 8,Medium,172.31.31.14,2022-12-28,2025-10-12
AST00610,CLI0047,Server,Ubuntu 20.04,Medium,10.125.79.232,2022-08-10,
AST00611,CLI0405,iot device,Windows 11,Medium,Unknown,2026-05-18,2026-02-03
AST00612,CLI0267,firewall,Unknown,Critical,172.24.64.207,2025-01-02,
AST00613,CLI0136,workstation,RHEL 8,High,10.8.251.171,2025-11-15,2025-08-27
AST00614,CLI0267,workstation,RHEL 8,Low,172.20.85.254,2023-12-04,
AST00615,CLI0288,iot device,macOS Sonoma,High,192.168.182.67,2022-09-09,
AST00616,CLI0271,Server,RHEL 8,Critical,10.93.210.157,2025-07-21,
AST00617,CLI0504,firewall,Unknown,High,172.25.162.98,2023-07-31,2025-11-08
